date,keyword,counts
5/29/22,noise cancelling headphones,1
5/29/22,smartphone,1
5/29/22,smartwatch,2
6/5/22,Apple,65
6/5/22,Logitech,2
6/5/22,NVIDIA,3
6/5/22,OLED monitor,0
6/5/22,Samsung,22
6/5/22,laptop,36
6/5/22,mechanical keyboard,1
6/5/22,noise cancelling headphones,1
6/5/22,smartphone,1
6/5/22,smartwatch,2
6/12/22,Apple,61
6/12/22,Logitech,2
6/12/22,NVIDIA,3
6/12/22,OLED monitor,0
6/12/22,Samsung,24
6/12/22,laptop,34
6/12/22,mechanical keyboard,1
6/12/22,noise cancelling headphones,1
6/12/22,smartphone,1
6/12/22,smartwatch,2
6/19/22,Apple,60
6/19/22,Logitech,2
6/19/22,NVIDIA,3
6/19/22,OLED monitor,0
6/19/22,Samsung,23
6/19/22,laptop,36
6/19/22,mechanical keyboard,1
6/19/22,noise cancelling headphones,1
6/19/22,smartphone,1
6/19/22,smartwatch,2
6/26/22,Apple,61
6/26/22,Logitech,2
6/26/22,NVIDIA,3
6/26/22,OLED monitor,0
6/26/22,Samsung,24
6/26/22,laptop,35
6/26/22,mechanical keyboard,1
6/26/22,noise cancelling headphones,1
6/26/22,smartphone,1
6/26/22,smartwatch,1
7/3/22,Apple,61
7/3/22,Logitech,2
7/3/22,NVIDIA,3
7/3/22,OLED monitor,0
7/3/22,Samsung,25
7/3/22,laptop,35
7/3/22,mechanical keyboard,1
7/3/22,noise cancelling headphones,1
7/3/22,smartphone,1
7/3/22,smartwatch,2
7/10/22,Apple,71
7/10/22,Logitech,3
7/10/22,NVIDIA,3
7/10/22,OLED monitor,0
7/10/22,Samsung,25
7/10/22,laptop,39
7/10/22,mechanical keyboard,1
7/10/22,noise cancelling headphones,1
7/10/22,smartphone,1
7/10/22,smartwatch,2
7/17/22,Apple,64
7/17/22,Logitech,3
7/17/22,NVIDIA,4
7/17/22,OLED monitor,0
7/17/22,Samsung,25
7/17/22,laptop,39
7/17/22,mechanical keyboard,1
7/17/22,noise cancelling headphones,1
7/17/22,smartphone,1
7/17/22,smartwatch,2
7/24/22,Apple,64
7/24/22,Logitech,2
7/24/22,NVIDIA,3
7/24/22,OLED monitor,0
7/24/22,Samsung,24
7/24/22,laptop,38
7/24/22,mechanical keyboard,1
7/24/22,noise cancelling headphones,1
7/24/22,smartphone,1
7/24/22,smartwatch,2
7/31/22,Apple,63
7/31/22,Logitech,2
7/31/22,NVIDIA,3
7/31/22,OLED monitor,0
7/31/22,Samsung,24
7/31/22,laptop,39
7/31/22,mechanical keyboard,1
7/31/22,noise cancelling headphones,1
7/31/22,smartphone,1
7/31/22,smartwatch,2
8/7/22,Apple,66
8/7/22,Logitech,2
8/7/22,NVIDIA,4
8/7/22,OLED monitor,0
8/7/22,Samsung,27
8/7/22,laptop,42
8/7/22,mechanical keyboard,1
8/7/22,noise cancelling headphones,1
8/7/22,smartphone,1
8/7/22,smartwatch,2
8/14/22,Apple,66
8/14/22,Logitech,2
8/14/22,NVIDIA,3
8/14/22,OLED monitor,0
8/14/22,Samsung,25
8/14/22,laptop,41
8/14/22,mechanical keyboard,1
8/14/22,noise cancelling headphones,1
8/14/22,smartphone,1
8/14/22,smartwatch,2
8/21/22,Apple,64
8/21/22,Logitech,2
8/21/22,NVIDIA,3
8/21/22,OLED monitor,0
8/21/22,Samsung,24
8/21/22,laptop,44
8/21/22,mechanical keyboard,1
8/21/22,noise cancelling headphones,1
8/21/22,smartphone,1
8/21/22,smartwatch,2
8/28/22,Apple,64
8/28/22,Logitech,2
8/28/22,NVIDIA,3
8/28/22,OLED monitor,0
8/28/22,Samsung,25
8/28/22,laptop,41
8/28/22,mechanical keyboard,1
8/28/22,noise cancelling headphones,1
8/28/22,smartphone,1
8/28/22,smartwatch,2
9/4/22,Apple,89
9/4/22,Logitech,2
9/4/22,NVIDIA,2
9/4/22,OLED monitor,0
9/4/22,Samsung,26
9/4/22,laptop,38
9/4/22,mechanical keyboard,1
9/4/22,noise cancelling headphones,1
9/4/22,smartphone,1
9/4/22,smartwatch,2
9/11/22,Apple,79
9/11/22,Logitech,2
9/11/22,NVIDIA,3
9/11/22,OLED monitor,0
9/11/22,Samsung,24
9/11/22,laptop,35
9/11/22,mechanical keyboard,1
9/11/22,noise cancelling headphones,1
9/11/22,smartphone,1
9/11/22,smartwatch,2
9/18/22,Apple,81
9/18/22,Logitech,2
9/18/22,NVIDIA,4
9/18/22,OLED monitor,0
9/18/22,Samsung,23
9/18/22,laptop,35
9/18/22,mechanical keyboard,1
9/18/22,noise cancelling headphones,1
9/18/22,smartphone,1
9/18/22,smartwatch,2
9/25/22,Apple,79
9/25/22,Logitech,2
9/25/22,NVIDIA,3
9/25/22,OLED monitor,0
9/25/22,Samsung,22
9/25/22,laptop,34
9/25/22,mechanical keyboard,1
9/25/22,noise cancelling headphones,1
9/25/22,smartphone,1
9/25/22,smartwatch,1
10/2/22,Apple,80
10/2/22,Logitech,2
10/2/22,NVIDIA,2
10/2/22,OLED monitor,0
10/2/22,Samsung,22
10/2/22,laptop,35
10/2/22,mechanical keyboard,1
10/2/22,noise cancelling headphones,1
10/2/22,smartphone,1
10/2/22,smartwatch,2
10/9/22,Apple,74
10/9/22,Logitech,2
10/9/22,NVIDIA,3
10/9/22,OLED monitor,0
10/9/22,Samsung,23
10/9/22,laptop,35
10/9/22,mechanical keyboard,1
10/9/22,noise cancelling headphones,1
10/9/22,smartphone,1
10/9/22,smartwatch,2
10/16/22,Apple,75
10/16/22,Logitech,2
10/16/22,NVIDIA,3
10/16/22,OLED monitor,0
10/16/22,Samsung,21
10/16/22,laptop,34
10/16/22,mechanical keyboard,1
10/16/22,noise cancelling headphones,1
10/16/22,smartphone,1
10/16/22,smartwatch,2
10/23/22,Apple,72
10/23/22,Logitech,2
10/23/22,NVIDIA,3
10/23/22,OLED monitor,0
10/23/22,Samsung,21
10/23/22,laptop,34
10/23/22,mechanical keyboard,1
10/23/22,noise cancelling headphones,1
10/23/22,smartphone,1
10/23/22,smartwatch,1
10/30/22,Apple,66
10/30/22,Logitech,2
10/30/22,NVIDIA,3
10/30/22,OLED monitor,0
10/30/22,Samsung,21
10/30/22,laptop,33
10/30/22,mechanical keyboard,1
10/30/22,noise cancelling headphones,1
10/30/22,smartphone,1
